Gm#,Date,,HomeTeam,AwayTeam,W/L,R,RA,Inn,HomeWL,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,HomeStreak,Orig. Scheduled,HomeGame,Index,year
1,202303300,boxscore,BOS,BAL,L,9,10,,0-1,5, 1.0,Gibson,Kluber,Bautista,3:10,D,"36,049",.98,-,,True,0,2023
1,202303300,boxscore,CHC,MIL,W,4,0,,1-0,1, Tied,Stroman,Burnes,,2:21,D,"36,054",1.01,+,,True,1,2023
1,202303300,boxscore,CIN,PIT,L,4,5,,0-1,3, 1.0,Zastryzny,Farmer,Bednar,3:02,D,"44,063",1.00,-,,True,2,2023
1,202303300,boxscore,KCR,MIN,L,0,2,,0-1,3, 1.0,López,Greinke,Duran,2:32,D,"38,351",1.00,-,,True,3,2023
1,202303300,boxscore,HOU,CHW,L,2,3,,0-1,4, 1.0,Graveman,Pressly,López,2:38,N,"43,032",.92,-,,True,4,2023
1,202303300,boxscore,LAD,ARI,W,8,2,,1-0,1, Tied,Urías,Gallen,,2:35,N,"52,075",.99,+,,True,5,2023
1,202303300,boxscore,MIA,NYM,L,3,5,,0-1,3, 1.0,Scherzer,Scott,Robertson,2:42,D,"31,397",.96,-,,True,6,2023
1,202303300,boxscore,NYY,SFG,W,5,0,,1-0,1, Tied,Cole,Webb,,2:33,D,"46,172",.93,+,,True,7,2023
1,202303300,boxscore,OAK,LAA,W,2,1,,1-0,1, Tied,May,Loup,Jiménez,2:30,N,"26,805",1.00,+,,True,8,2023
1,202303300,boxscore,SDP,COL,L,2,7,,0-1,3, 1.0,Márquez,Snell,,2:56,N,"45,103",.96,-,,True,9,2023
1,202303300,boxscore,SEA,CLE,W,3,0,,1-0,1, Tied,Sewald,Karinchak,Muñoz,2:14,N,"45,268",.95,+,,True,10,2023
1,202303300,boxscore,STL,TOR,L,9,10,,0-1,3, 1.0,García,Helsley,Romano,3:38,D,"47,649",.88,-,,True,11,2023
1,202303300,boxscore,TBR,DET,W,4,0,,1-0,1, Tied,McClanahan,Rodriguez,,2:14,D,"25,025",.95,+,,True,12,2023
1,202303300,boxscore,TEX,PHI,W,11,7,,1-0,1, Tied,Ragans,Soto,,3:04,D,"38,387",.89,+,,True,13,2023
1,202303300,boxscore,WSN,ATL,L,2,7,,0-1,3, 1.0,Luetge,Corbin,,3:07,D,"35,756",1.00,-,,True,14,2023
2,202303310,boxscore,SEA,CLE,L,4,9,,1-1,3, 0.5,Sandlin,Ray,,3:05,N,"31,516",.99,-,,True,15,2023
2,202303310,boxscore,SDP,COL,L,1,4,,0-2,5, 2.0,Freeland,Martinez,Johnson,2:27,N,"43,177",.98,--,,True,16,2023
2,202303310,boxscore,LAD,ARI,L,1,2,,1-1,2, 1.0,Jameson,Vesia,Chafin,2:41,N,"45,389",1.04,-,,True,17,2023
2,202303310,boxscore,MIA,NYM,W,2,1,,1-1,2, 0.5,Luzardo,Peterson,Puk,2:09,N,"14,797",.97,+,,True,18,2023
